queue,n_threads,throughput_mops_mean,throughput_mops_std,throughput_mops_min,throughput_mops_max,e2e_p50_mean,e2e_p50_std,e2e_p50_min,e2e_p50_max,e2e_mean_mean,e2e_mean_std,e2e_mean_min,e2e_mean_max,e2e_p99_mean,e2e_p99_std,e2e_p99_min,e2e_p99_max,e2e_p999_mean,e2e_p999_std,e2e_p999_min,e2e_p999_max,enq_p50_mean,enq_p50_std,enq_p50_min,enq_p50_max,deq_p50_mean,deq_p50_std,deq_p50_min,deq_p50_max,n_trials
PLJQueue,16,1.4821365338584254,0.045610655830541885,1.4402466422374833,1.5422677762426502,19579.1,794.5207989725636,18376.0,20300.5,21419.873034,769.432911410495,20245.1634,22055.34321,54191.50599999995,1169.2232061629575,52480.08999999995,55457.03999999998,80202.70860000042,1621.0263722142665,78387.0270000001,82280.01100000004,6417.2,292.1610429198253,5895.0,6559.5,8012.9,424.67405147948466,7588.0,8526.5,5
PLJQueue,32,0.9233434810185969,0.005820128909484374,0.9168835510135861,0.9312003026400983,64625.9,1050.18732852763,63149.5,65664.0,68517.598514,311.2847791075606,68037.28073,68801.8956,161908.52399999983,4251.646481944377,157213.3499999998,167572.21999999988,246995.47100000182,12565.277369526224,234492.81200000312,265950.11000000045,13753.7,718.3135283426031,13028.0,14838.5,29527.7,666.3993359840625,28815.0,30255.5,5
PLJQueue,48,0.6217930886461505,0.016292540740204906,0.6052772611203934,0.6442304465993356,142756.3,5539.16499348052,136426.5,149511.5,151045.76744,3488.536690662989,146587.27802,154608.11911,353851.8039999995,7089.120078157414,341265.1699999989,358238.5599999997,521239.17900000454,15212.645275692666,496667.31800000125,537793.2170000047,29613.9,1905.2515385113857,27425.0,31735.5,66566.2,4088.8962691660445,61532.0,72466.5,5
PLJQueue,64,0.5040889496475613,0.007907420166062546,0.49368431202391283,0.5127862722841691,233357.8,5077.464790621399,227166.0,238738.0,247543.80998,4751.209089311294,242433.03546,252873.88982,559089.3679999991,26150.05985426002,537797.8499999995,603399.6599999997,836604.0904000096,44568.801560678236,803008.8570000072,907644.7240000027,43907.2,3937.8898314960506,39994.5,50425.0,114207.7,5168.752153566661,108198.0,120734.5,5
PLJQueue,96,0.7455634673293051,0.012320454684399476,0.7278792933505194,0.759200862009312,170697.2,5764.256528382478,160435.5,173929.0,242071.599958,7341.594161717721,235967.95093,252641.64971,1171767.5659999982,60924.07221140277,1105444.0599999947,1254239.629999998,2103191.6630000197,185614.06331178718,1900956.3240000128,2390784.364000036,104315.5,11280.548856327869,93815.0,123420.5,14955.9,1451.0880142155402,13246.0,17077.5,5
PLJQueue,144,0.6777876519150856,0.0433138208401248,0.6331185121677768,0.7451300391000203,280916.6,23786.539729435222,256045.0,320162.0,360466.1149080899,26086.394760196286,328049.6873360529,395379.5290092858,1570942.5599999975,194812.23116957338,1330571.4,1764275.9999999993,2804302.8920000303,399444.26238670666,2350208.500000034,3238641.6600000323,116318.6,21678.026992786956,91289.0,142290.0,60143.4,14290.902431267245,41800.0,75453.0,5
PLJQueue,192,0.7092543085955444,0.023306034788070175,0.680953689829141,0.742854379261982,395852.6,10880.979703133355,380556.5,405701.5,501697.34988,14946.912556472078,481484.73998,518174.18485,1976336.329999994,320718.84207365004,1558530.8999999994,2347790.9099999783,3673025.9178000456,537030.9777089391,2939966.83300008,4316750.881000004,149653.0,24929.461315880853,118107.5,184459.5,106042.7,36750.898801253825,59106.0,148338.0,5
LCRQueue,1,9.147278413211927,0.0009906440394011889,9.146112723457517,9.148466023812217,185.4,0.5477225575051652,185.0,186.0,186.03845,0.3083854569366135,185.69885,186.34895,203.4,10.406728592598151,192.0,211.0,220.00020000000077,4.6369171008336805,213.0,225.0,37.0,0.0,37.0,37.0,37.0,0.0,37.0,37.0,5
LCRQueue,2,13.412860454958576,0.08676625044445092,13.292555649595773,13.500804247128002,441.6,8.142481194328916,428.0,449.0,452.240584,6.26270691172195,442.02379,458.86545,727.0,2.236067977499782,724.0,730.0,821.4,6.985699678629193,813.0,830.0,136.0,3.3911649915626323,130.0,138.0,207.6,3.507135583350036,202.0,211.0,5
LCRQueue,4,17.3115239213831,0.2225378521160243,16.913877969013246,17.421681827461835,564.8,23.636835659622466,552.0,607.0,565.7939640000001,22.169063747573603,554.43055,605.39891,895.0,44.97221364353772,869.0,975.0,1048.000800000003,42.32684728042283,1023.0,1123.0020000000077,232.0,4.527692569068706,229.0,240.0,295.2,20.042454939452902,285.0,331.0,5
